No.;Nama Pemilik;Nama Usaha;NIK;Tgl. Lahir;Jalan;Desa;Sektor;NIB/SKU;Jml. Tenaga Kerja;Kapasitas Produksi/Thn; Omset/Thn ; Aset ;Sosmed;Marketplace;Kepemilikan Lahan
1;Owner-0001;MSME-0001;NIK-0001;BirthDate-0001;Street-0001;Village-0001;Makanan dan Minuman;Ada;8;5000; Rp22.250.000 ; Rp13.000.000 ;WhatsApp Business, Instagram;Shopee;Sendiri
2;Owner-0002;MSME-0002;NIK-0002;BirthDate-0002;Street-0002;Village-0001;Makanan dan Minuman;Ada;5;170; Rp81.250.000 ; Rp132.750.000 ;Facebook;Shopee;Sendiri
3;Owner-0003;MSME-0003;NIK-0003;BirthDate-0003;Street-0002;Village-0001;Makanan dan Minuman;Ada;4;3000; Rp6.250.000 ; Rp27.250.000 ;Facebook, TikTok;Shopee;Sendiri
4;Owner-0004;MSME-0004;NIK-0004;BirthDate-0004;Street-0002;Village-0001;Perdagangan;Ada;2;1500; Rp27.750.000 ; Rp29.250.000 ;WhatsApp Business;Lazada;Sendiri
5;Owner-0005;MSME-0003;NIK-0005;BirthDate-0005;Street-0002;Village-0001;Makanan dan Minuman;Ada;3;550; Rp54.750.000 ; Rp92.000.000 ;Tidak ada;Shopee;Sendiri
6;Owner-0006;MSME-0005;NIK-0006;BirthDate-0006;Street-0001;Village-0001;Makanan dan Minuman;Ada;3;5000; Rp187.500.000 ; Rp167.000.000 ;TikTok;Shopee;Sendiri
7;Owner-0007;MSME-0005;NIK-0007;BirthDate-0007;Street-0001;Village-0001;Makanan dan Minuman;Ada;3;8000; Rp9.750.000 ; Rp12.750.000 ;WhatsApp Business;Shopee;Sendiri
8;Owner-0008;MSME-0006;NIK-0008;BirthDate-0008;Street-0001;Village-0001;Jasa;Ada;4;600; Rp55.000.000 ; Rp161.250.000 ;Facebook;Tidak ada;Sendiri
9;Owner-0009;MSME-0006;NIK-0009;BirthDate-0009;Street-0001;Village-0001;Jasa;Ada;9;1000; Rp21.250.000 ; Rp29.750.000 ;Facebook, WhatsApp Business;Tidak ada;Sendiri
10;Owner-0010;MSME-0007;NIK-0010;BirthDate-0010;Street-0003;Village-0002;Makanan dan Minuman;Ada;2;435; Rp5.500.000 ; Rp19.500.000 ;Facebook, TikTok;Shopee;Sendiri
11;Owner-0011;MSME-0008;NIK-0011;BirthDate-0011;Street-0001;Village-0001;Pertambangan;Ada;5;300; Rp63.000.000 ; Rp167.500.000 ;Facebook;Shopee;Sendiri
12;Owner-0012;MSME-0004;NIK-0012;BirthDate-0012;Street-0001;Village-0001;Perdagangan;Ada;4;5000; Rp410.250.000 ; Rp461.500.000 ;TikTok;Tokopedia;Sendiri
13;Owner-0013;MSME-0004;NIK-0013;BirthDate-0013;Street-0001;Village-0001;Perdagangan;Ada;3;2000; Rp26.250.000 ; Rp20.000.000 ;Facebook;Shopee;Sendiri
14;Owner-0014;MSME-0009;NIK-0014;BirthDate-0014;Street-0001;Village-0001;Jasa;Ada;2;5000; Rp149.500.000 ; Rp97.500.000 ;WhatsApp Business, Instagram, TikTok;Shopee, TikTok Shop;Sendiri
15;Owner-0015;MSME-0001;NIK-0015;BirthDate-0015;Street-0004;Village-0001;Makanan dan Minuman;Ada;6;10000; Rp955.500.000 ; Rp490.750.000 ;WhatsApp Business, Instagram;Shopee;Sendiri
16;Owner-0016;MSME-0001;NIK-0016;BirthDate-0016;Street-0004;Village-0001;Makanan dan Minuman;Ada;6;320; Rp22.500.000 ; Rp28.500.000 ;WhatsApp Business, TikTok;Shopee;Sendiri
17;Owner-0017;MSME-0001;NIK-0017;BirthDate-0017;Street-0004;Village-0001;Makanan dan Minuman;Ada;6;50000; Rp106.750.000 ; Rp121.750.000 ;WhatsApp Business;Shopee;Sendiri
18;Owner-0018;MSME-0004;NIK-0018;BirthDate-0018;Street-0001;Village-0001;Perdagangan;Ada;3;1000; Rp537.250.000 ; Rp375.750.000 ;Facebook;Lazada;Sendiri
19;Owner-0019;MSME-0010;NIK-0019;BirthDate-0019;Street-0005;Village-0001;Makanan dan Minuman;Ada;2;360; Rp20.000.000 ; Rp13.000.000 ;Facebook, TikTok;Shopee;Sendiri
